NAME_(ENG),ALT NAMES,REF1,REF2,OBLAST,COUNTRY,IMGQUAL,ICAO,ICAOR,ICAOSRC,CAT,SIG,LATD,LATM,LATS,LOND,LONM,LONS,SRCLATLON (G=GoogleLowRes H=GoogleHighRes X=not found),ELEV1FT,ELEV1SRC,ELEV2FT,ELEV2SRC,ELEV3FT,ELEV3SRC,LAT,LON,MAG2010,R1L,R1W,R1DIMSRC (G=googlelowres H=googlehighres),R1HDG,R1NAM,R1SFC,R2LEN,R2WID,R2DIMSRC,R2HDG,R2OVRUNNE,R2OVRUNSW,R2NAM,R2SFC,R2dg,R2len,USE,OPR,MILPURPOSECODE,UNITS,NOTES,
Ust-Ordynsky,,3 km NW,Ust-Ordynsky,Buryatskiy,RUS,,UIIO,,,N,,52,49.6,N,104,43.6,E,H,1775,,,,,,52.8267,104.7267,,2500,75,H,117,Dec-30,DIRT,,,,,,,,,,,CIV,,,Civilian,"Very long, unpaved runway with 50 x 25 m parking tarmac. Handles small transport aircraft.",
Irkutsk/Northwest,,11 km NW,Irkutsk,,RUS,9,,,,M,,52,22.1,N,104,11,E,H,1470,,,,,,52.3683,104.1833,,2600,45,H,138,14/32,CONC,,,,,,,,,,,MIL,,,,Military airfield with several combat fighters and helicopters.,
Irkutsk,,8 km E,Irkutsk,Irkutsk,RUS,,UIII,,CD,M,,52,16.1,N,104,23.3,E,CD,1621,D,,,,,52.2683,104.3883,-3,3181,46,D,113,Dec-30,CONC,,,,,,,,,,,CIV,,,Civilian,"Accommodates medium-sized airliners. Terminal area parks 12 jets, with permanent parking for about 50 others.  Elevation was given as 510 m by CAICA 2000 when runway was 2765 x 45 m ",
Sosnovo-Ozersk,,1 km E,Sosnovo-Ozersk,,RUS,,,,,N,3,52,31.3,N,111,33.9,E,G,3127,,,,,,52.5217,111.565,,1750,30,G,47,,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airport with dirt runway.,
Chita/Kashtak,,7 km NE,Chita,,RUS,,,,,M,,52,6.6,N,113,29.8,E,H,2425,,,,,,52.11,113.4967,,1000,80,G,159,,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian/training ROSTO (former DOSAAF).,
Chita,Chita Northwest (US),5 km N,Chita,,RUS,,,,,M,,52,4.4,N,113,26,E,H,2221,,,,,,52.0733,113.4333,,2500,40,H,143,15/33,CONC,,,,,,,,,,,MIL,,,Unknown,"Located on Chita's north side, this base contains a number of hangars and tarmacs.  Not to be confused with Chita/Kadala civilian airport, 10 km SW.",
Chita/Kadala,Kadala,10 km W,Chita,,RUS,,UIAA,,CD,M,,52,1.6,N,113,18.3,E,D,2270,D,,,,,52.0267,113.305,-7,2874,60,D,101,Nov-29,CONC,,,,,,,,,,,CIV,,,Civilian,Accommodates all airliners.  Terminal area parks about 30 aircraft.,
Ukkurey,"Nikolayevskoye, Ukurey",24 km SW,Cernysevsk,Komsomolskoye,RUS,,,,,M,7,52,20.2,N,116,49.5,E,G,1900,,,,,,52.3367,116.825,,3000,60,G,155,,CONC,,,,,,,,,,,MIL,,R,,"Medium-size base, 2 parallel taxiways, tarmacs, 12 revetments.  It was home to 193 Gv ORAP flying the Yak-28R from the mid-1970s through at least 1991 [#34] and the MiG-25RB in the 1980s.  It is thought to service the Il-76.",
Nerchinsk,Nercinsk,2 km NW,Nercinsk,,RUS,,,,,M,5,52,0.3,N,116,32.1,E,H,1575,,,,,,52.005,116.535,,1700,40,H,143,,CONC,,,,,,,,,,,MIL,,,Military,"Appears to be abandoned, and substandard runway length suggests tactical or 1950s-1960s design.  Contains 20 revetments.",
Mayskiy,,1 km N,Mayskiy,,RUS,,,,,N,,52,17.8,N,129,33,E,G,801,T84,,,,,52.2967,129.55,,750,20,G,12,,GRAV,,,,,,,,,,,CIV,,,,Minor civilian airfield.,
Stoyba,Stoxba,1 km NE,Stoyba,,RUS,4,,,,N,,52,48.3,N,131,43.9,E,G,2001,T84,,,,,52.805,131.7317,,600,20,G,30,,GRAV,,,,,,,,,,,CIV,,,,Small gravel airfield serving the town of Stoyba.,
Ogodzha,Ogodhza,2 km E,Ogodzha,,RUS,4,,,,N,,52,46.3,N,132,34.2,E,G,2500,T84,,,,,52.7717,132.57,,500,30,G,130,,GRAV,,,,,,,,,,,CIV,,,,Condition of airfield uncertain.,
Sofiysk-Ivanovskiy,,,,,,,,,,x,,52,15.1,N,133,57.8,E,G,2874,T89,,,,,52.2517,133.9633,,1100,25,G,72,,GRAV,,,,,,,,,,,CIV,,,,Position and geometrics are approximate due to poor satellite imagery.,
Imeni Poliny Osipenko,,3 km NW,Imeni Poliny Osipenko,,RUS,,,,,M,,52,26.3,N,136,28.5,E,G,325,?,200,T89,,,52.4383,136.475,,1100,30,G,0,,UNKN,,,,,,,,,,,CIV,,,Civilian,Well-maintained civilian airstrip serving the Amgun River town of Imeni Poliny Osipenko.,
Kherpuchi,,6 km NW,Oglongi,,RUS,,,,,N,,52,58.5,N,138,49.1,E,G,95,T89,,,,,52.975,138.8183,,1200,20,G,50,,GRAV,,,,,,,,,,,CIV,,,,Small gravel utility airstrip.,
Susanino,,2 km SE,Susanino,,RUS,,,,,N,,52,46.3,N,140,6,E,G,98,T89,,,,,52.7717,140.1,,650,20,G,142,,GRAV,,,,,,,,,,,CIV,,,,Well-maintained minor gravel airstrip on the Amur River town of Susanino.,
Bogorodskoye,,1 km NE,Bogorodskoye,,RUS,,,,,N,,52,22.7,N,140,26.8,E,C,131,T89,,,,,52.3783,140.4467,,1000,20,G,14,,GRAV,,,,,,,,,,,CIV,,,,Civilian airstrip serving the Amur River town of Bogorodskoye.,
Lazarev,,5 km W,Lazarev,,RUS,,,,,N,,52,12.7,N,141,26.5,E,G,69,T89,,,,,52.2117,141.4417,,550,30,G,171,,GRAV,,,,,,,,,,,CIV,,,,Small civilian airstrip serving Lazarev.,
Pogili,,2 km E,Pogibi,,RUS,,,,,N,,52,13.5,N,141,40.7,E,G,20,T89,,,,,52.225,141.6783,,700,20,G,3,,GRAV,,,,,,,,,,,CIV,,,,Small civilian airstrip.,
Langry Southeast,,21 km SE,Novyye Langry,,RUS,,,,,N,,52,57.2,N,142,14.8,E,G,200,T89,,,,,52.9533,142.2467,,650,20,G,132,,GRAV,,,,,,,,,,,CIV,,,,Minor gravel airstrip.,
Val,,1 km E,Val,,RUS,,,,,N,,52,20.2,N,143,4.5,E,G,30,T84,,,,,52.3367,143.075,,850,20,G,143,G,GRAV,,,,,,,,,,,CIV,,,,Minor gravel airstrip serving the northern Sakhalin Island town of Val.,
Lenino,,11 km W,Lenino,Kamchatskaya,RUS,4,,,,A,0,52,54.6,N,156,52.7,E,G,203,T,,,,,52.91,156.8783,,3400,45,G,92,,CONC,,,,,,,,,,,MIL,,,Abandoned,Large abandoned military base 120 km west of Petropavlovsk.  Appears to be have been abandoned in the 1970s.  Curved taxiways feeding dozens of revetments.,
Ust-Bolsheretsk,Ust-Bolshertsk,4 km NE,Ust-Bolsheretsk,Kamchatskaya,RUS,9,UHPB,,D,x,1,52,51.2,N,156,20.8,E,T,5,H,,,,,52.8533,156.3467,,1000,20,H,58,,GRAV,,,,,,,,,,,CIV,,,Civilian,"Listed on DoD TPC charts but no actual airfield found on satellite imagery.  This may actually be a highway strip, so have listed it as such.",
Ovruch,Ovruch Southwest (US),8 km SW,Ovruch,Zhitomirskaya,UKR,,,,,M,,51,16.3,N,28,43.2,E,G,528,,,,,,51.2717,28.72,,2500,40,G,90,,CONC,,,,,,,,,,,MIL,,,"4070 BRSV (143 to 146 Su-17, 1992)[#3]",Three large parking areas for fighters; appears to have capacity for about 50 planes.  The 4070 unit is a direct reporting unit.,
Chernigov West,,24 km W,Chernihiv,,UKR,,,,,N,2,51,31.1,N,30,57.3,E,G,489,O,,,,,51.5183,30.955,7,950,30,G,92,,GRAS,,,,,,,,,,,CIV,,,Unknown,Small airstrip.,
Gorodnya,"Horodnya, Horodnye, Gorodnye",4 km E,Gorodnya,,UKR,,,,,M,,51,53,N,31,38.7,E,G,489,,,,,,51.8833,31.645,,2500,40,G,147,,CONC,,,,,,,,,,,MIL,,T,703 UAP (101 L-39C).,(Thanks to AviaMK for this find),
Chernigov,Chernihiv,5 km N,Chernihiv,,UKR,,,,,M,4,51,32.9,N,31,18.8,E,G,446,,,,,,51.5483,31.3133,,2500,60,G,106,,CONC,,,,,,,,,,,MIL,,T,"701 UAP (101 L-39C, 1992).",Appears to be a large forward deployment base.  Probably abandoned (AviaMK).,
Chernigov/Shestovitsa,Chernihiv,15 km SW,Chernihiv,,UKR,,UKRR,,,M,,51,24.1,N,31,9.5,E,H,446,,,,,,51.4017,31.1583,,2200,42,H,92,Sep-27,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small airliners.  Utilitarian general aviation field (AviaMK).,
Nezhin,Nezhine,4 km N,Nezhin,Kievskaya,UKR,,,,,M,,51,5.3,N,31,52.1,E,G,440,,,,,,51.0883,31.8683,,3000,80,G,79,,CONC,,,,,,,,,,,MIL,,R,"199 ODRAP (Tu-22R, 1960s, 1991)[#2][#6], (Tu-22RDK, 1991)[#2], (Tu-22K, 1991)[#2], (Tu-22UD, 1991)[#2].",Medium-sized bomber base with modern design.  Has 33 large revetments along curved taxiway.,
Konotop,,4 km W,Konotop,,UKR,,,,,M,6,51,14.6,N,33,8.9,E,G,476,,,,,,51.2433,33.1483,,2000,30,G,20,,CONC,,,,,,,,,,,MIL,,T,105 UAP (101 L-39).,Training base.,
Chervonoye-Pustogorod,,22 km NE,Hlukhiv,,UKR,,,,,M,2,51,51.2,N,34,3.3,E,G,636,,,,,,51.8533,34.055,,2500,40,G,168,,CONC,,,,,,,,,,,MIL,,Z,Military,Appears to be a forward deployment base.,
Belaya,,3 km SE,Belaya,,RUS,,,,,N,,51,2,N,35,44,E,C,525,G,,,,,51.0333,35.7333,,650,60,C,26,,DIRT,,,,,,,,,,,CIV,,,Civilian,Poor quality Google imagery; position needs to be refined.  Not to be confused with the very large Belaya airfield.,
Sudzha,,,,,RUS,,,,,N,,51,13,N,35,20,E,C,,,,,,,51.2167,35.3333,,650,40,C,46,,DIRT,,,,,,,,,,,CIV,,,,,
L'gov,,6 km NE,L'gov,,RUS,,,,,N,,51,40,N,35,20,E,C,,,,,,,51.6667,35.3333,,800,120,C,96,,DIRT,,,,,,,,,,,CIV,,,,,
Kursk/R'zhkovo,,10 km S,Kursk,,RUS,,XUOS,,,,,51,39.3,N,36,11.3,E,C,548,C,,,,,51.655,36.1883,,800,60,C,76,Jul-25,DIRT,,,,,,,,,,,,,,,,
Kursk/Khalino,"Kursk/Vostochny, Kursk East (US)",7 km E,Kursk,Kurskaya,RUS,,UUOK,,CD,M,,51,45,N,36,17.7,E,D,686,D,,,,,51.75,36.295,7,2500,40,D,124,Dec-30,CONC,,,,,,,,,,,MIL,,I,"472 IAP (MiG-23P, 1991-1994) [#1].  14 IAP (MiG-29)[#7].","Medium-sized base 4 miles northeast of Kursk.  Several alert pads, with civilian tarmac on other side of airfield. Listed as civilian in DAFIF.",
Tim,,,,,RUS,,,,,,,51,37,N,37,10,E,C,,,,,,,51.6167,37.1667,,400,30,C,126,,GRAV,,,,,,,,,,,CIV,,,,,
Staryy Oskol,,6 km NW,Staryy Oskol,,RUS,,UUOS,,C,M,4,51,19.8,N,37,46.2,E,H,718,C,,,,,51.33,37.77,,1800,42,C,49,,CONC,,,,,,,,,,,CIV,,,Civilian,Small civilian airport.,
Gorshechnoye,,5 km NE,Gorshechnoye,,RUS,,,,,N,,51,32,N,38,5,E,C,750,G,,,,,51.5333,38.0833,,600,60,C,96,,DIRT,,,,,,,,,,,CIV,,,Civilian,,
Kastornoye,,5 km SW,Kastornoye,,RUS,,,,,N,,51,48,N,38,5,E,C,652,G,,,,,51.8,38.0833,,650,60,C,126,Dec-30,DIRT,,,,,,,,,,,CIV,,,,,
Voronezh/Gremyach'e,,26 km SW,Voronezh,,RUS,,XUOG,,C,N,,51,28,N,38,58,E,C,656,C,,,,,51.4667,38.9667,,290,15,C,354,17/35,CONC,2200,60,C,,,,,DIRT,,,CIV/MIL,,,Mixed.,Probably a former helicopter base.,
Voronezh/Chertovitskoye,Chertovitsi,11 km N,Voronezh,,RUS,,UUOO,,CD,M,,51,48.9,N,39,13.8,E,CD,515,CD,,,,,51.815,39.23,8,2300,49,CD,131,13/31,CONC,700,100,C,41,,,,DIRT,,,CIV,,,"Mixed use.  55 IISAP (11 MiG-25, 1991)[#4] (15 Su-24,1991)[#4] (5 Su-17, 1991)[#4].  455 IIISAP (Su-24, Su-17C, MiG-25).  5 ODRAO (An-30)[#7].",Services medium-sized airliners; handles up to 44 mixed aircraft.  Tarmac only; no revetments.,
Voronezh/Pridacha,"Repnoe, Voronezh East (US)",5 km E,Voronezh,,RUS,,XUOD,,C,M,,51,39.2,N,39,15.4,E,G,358,C,,,,,51.6533,39.2567,,2400,50,C,37,,ASPH,,,,,,,,,,,CIV,,,Civilian,"Voronezh Aircraft Plant (VASO).  The Tu-144, Il-86, and Il-96 was built here.",
Voronezh/Baltimor,"Malshevo, Mal'shevo, Voronezh Southwest (US)",7 km SW,Voronezh,,RUS,,XUOW,,C,M,,51,37.1,N,39,8.4,E,H,525,C,,,,,51.6183,39.14,,2500,48,C,116,Nov-29,CONC,,,,,,,,,,,?,,,Military?,Nuclear bomber base accoridng to NRDC.,
Zherdevka,,7 km E,Zherdevka,,RUS,,,,,M,,51,50,N,41,33.3,E,G,489,,,,,,51.8333,41.555,,2500,40,G,154,,CONC,,,,,,,,,,,MIL,,I,"14 IAP (MiG-29E,1994-2004).",No revetments.,
Borisoglebsk,Borisoglebsk East (US),6 km E,Borisoglebsk,,RUS,,,,,M,,51,22,N,42,10,E,H,400,C,,,,,51.3667,42.1667,,2500,40,G,121,Dec-30,CONC,,,,,,,,,,,MIL,,T,"160 IIAP (60 MiG-21, 1991)[#4] (25 MiG-29E,1991,1994)[#4] (MiG-29,2003).  1080 UATPLS (Mi-8).",Small military airfield.,
Povorino,,13 km SW,Povorino,,RUS,,,,,M,3,51,5.4,N,42,10.4,E,H,299,,,,,,51.09,42.1733,,2500,40,H,123,,CONC,,,,,,,,,,,MIL,,,Military,Decaying military airfield.  No aircraft stationed at this base.,
Shepelevka,,5 km SE,Turki,,RUS,,,,,A,,51,55.8,N,43,17.8,E,G,597,T93,,,,,51.93,43.2967,,2150,30,G,174,,UNKN,,,,,,,,,,,MIL,,,,Appears to be an abandoned military airfield from the 1940s or 1950s.  It has been demolished at least 10 or 20 years ago and little trace remains.,
Balashov/City,,2 km S,Balashov,,RUS,,,,,N,,51,31.7,N,43,10.6,E,G,535,T93,,,,,51.5283,43.1767,,1200,30,G,76,,DIRT,,,,,,,,,,,,,,,"Small dirt airfield with a number of aircraft on site, including one Il-76 jet cargo transport.",
Balashov,"Balashov Southeast (US), Balasov",9 km E,Balashov,,RUS,,,,,M,4,51,31.9,N,43,18.1,E,H,568,,,,,,51.5317,43.3017,,2000,50,H,178,17/35,CONC,,,,,,,,,,,$,,,Military,Small attack deployment airfield.,
Atkarsk,Atkarsk Southeast (DoD),11 km SE,Atkarsk,,RUS,,,,,M,1,51,48.2,N,45,6.8,E,G,755,,,,,,51.8033,45.1133,,1000,80,G,32,,CONC,,,,,,,,,,,CIV,,,Civilian,"Small paved civilian airstrip, unattended.",
Saratov/West,,12 km W,Saratov,,RUS,,,,,M,3,51,32.4,N,45,50.9,E,H,945,T93,,,,,51.54,45.8483,,2000,48,G,90,,CONC,,,,,,,,,,,?,,,Unknown,"A small, old former military training airfield or general aviation airport.  Used for helicopter operations or storage.",
Saratov/South,,8 km SW,Saratov,,RUS,,,,,M,4,51,28.7,N,45,56.6,E,H,266,T93,,,,,51.4783,45.9433,,1750,68,H,51,Apr-22,CONC,,,,,,,,,,,$,,,Military,Yakovlev factory airfield (AviaMK).  Appears to be a very old military airfield.  There are 17 parking stands and tarmac space.,
Saratov/Tsentralny,,5 km N,Saratov,,RUS,,UWSS,,CD,M,,51,33.9,N,46,2.8,E,D,499,D,509,T93,,,51.565,46.0467,9,2281,42,D,131,Dec-30,ASPH,,,,,,,,,,,CIV,,,Civilian,Civil Airport which can carry most types of jet liners (AviaMK). ,
Saratov/Sharapovka,,12 km N,Saratov,,RUS,,,,,x,,51,38.7,N,46,2.9,E,T,545,T93,,,,,51.645,46.0483,,1615,20,T,,,,,,,,,,,,,,,,,,Location uncertain; coordinates taken from 1993 TPC chart.,
Engels,Zngyelse,14 km E,Saratov,,RUS,,,,,M,,51,28.8,N,46,12.8,E,H,135,T93,121,?,,,51.48,46.2133,,3500,100,H,47,Apr-22,CONC,,,,,,,,,,,MIL,DA,B,"200 TBAP (Tu-160, Tu-134UBL), 1994.  1096 TBAP (Tu-22), 1980s, disbanded 1989.  1230 APSZ (3MS2 1965-) (Il-78).  ZMD, ZMS-2.  121 TBAP (Tu-160, 1991)[#2], (19 Tu-95MS, 1991, 2004)[#2], (Tu-134UBK, 1991)[#2].  511 IAP.  203 GV APSZ (Il-78, 1991)[#2]","Engels is a major bomber operations base, and is Russia's sole operating location for the Tu-160.  Contains very large tarmac and about 10 large revetments.  Was to have received first Tu-160 in 1987 but it went to Priluki, which had Tu-22M experience.  Only 7 operational Tu-160s in 2001.  Home to 22 GV TBAD.",
Lebedovo,Dolinniye,18 km SE,Privolzsky,,RUS,,,,,A,,51,17,N,46,15.6,E,G,259,T93,249,?,,,51.2833,46.26,,3000,40,G,16,,CONC,,,,,,,,,,,-,,,Abandoned,"There is evidence of an old base here, with old GNC charts showing the airfield and faint runway patterns in the crop fields.  It was probably an alternate site for Engels bombers.",
Balakovo,Balakovo South (DoD),19 km S,Balakovo,,RUS,,UWSB,,,M,,51,51.5,N,47,44.7,E,G,164,T93,95,?,,,51.8583,47.745,9,2507,42,G,39,Mar-21,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airport serciving medium-sized airliners up to Tu-154 and Il-76.,
Pugachev,Pugachev Southeast (US),7 km SW,Pugachev,,RUS,,,,,M,3,51,58.6,N,48,43.2,E,G,118,,,,,,51.9767,48.72,9,2300,30,G,159,,ASPH,,,,,,,,,,,CIV,,,Civilian,Minor but well-maintained civilian airfield.,
Gornyy,,7 km SE,Gornyy,,RUS,,,,,A,0,51,44.7,N,48,38.1,E,H,476,,,,,,51.745,48.635,9,2000,40,G,76,,????,,,,,,,,,,,-,,,Abandoned,Former military base plowed under into farmland.,
Uralsk/Ak Zhol,Podstepnyy,12 km SE,Uralsk,,KAZ,,UARR,,D,M,,51,9.1,N,51,32.6,E,D,125,D,148,T93,,,51.1517,51.5433,9,2400,42,D,52,Apr-22,CONC,,,,,,,,,,,CIV,,,Civilian,Small airport servicing medium-sized airliners; parks 4 jets.,
Cheben'ki,"Chebenki, Orenburg Northeast (US), Dmitrievka",38 km NE,Orenburg,,RUS,,,,,M,6,51,58.4,N,55,32.9,E,H,400,,,,,,51.9733,55.5483,10,2500,40,H,91,,CONC,,,,,,,,,,,MIL,FA,AH,"(Su-17) (MiG-23).  118 OVZ (Mi-6, Mi-8)","Reveted areas for 15 fighters, 8 large aircraft, and considerable tarmac space. Satellite imagery shows hundreds of MiG-23 and Su-17 fighter aircraft.",
Orenburg/Tsentralny,Orenburg Central (Jeppesen),25 km E,Orenburg,,RUS,,UWOO,,CD,M,,51,47.8,N,55,27.4,E,CD,387,CD,,,,,51.7967,55.4567,10,2500,42,CD,90,Aug-26,CONC,,,,,,,,,,,CIV,,,Civilian,Services small airliners; parking for 31 aircraft.,
Orenburg,Orenburg Southwest (US),9 km SW,Orenburg,,RUS,,,,,M,5,51,42.5,N,55,1.1,E,H,367,,,,,,51.7083,55.0183,,2500,44,H,123,Nov-29,CONC,,,,,,,,,,,MIL,VTA,C,"128 GV TAD (Il-76M, beginning 1992).  117 OVTAP (Il-76, An-12) [#4][#7].","Large tarmac and revetments for 6 large transports.  Not Chalovskiy, according to Vladimir [14][15].  Numerous Il-76 jets are parked at this airfield.",
Akyar,,???,???,,RUS,,UWOA,,,x,,51,55,N,58,46,E,,0,,,,,,51.9167,58.7667,,1500,90,,,Aug-26,ASPH,,,,,,,,,,,,,,,,
Orsk,,16 km S,Orsk,,RUS,,UWOR,,CD,M,,51,4.4,N,58,35.7,E,D,909,D,,,,,51.0733,58.595,10,2911,42,D,77,Jul-25,ASPH,,,,,,,,,,,CIV,,,Civilian,Services medium-sized airliners.,
Ashchebutak,,40 km SE,Novoorsk,,RUS,,,,,A,1,51,2.1,N,59,10.1,E,G,741,,,,,,51.035,59.1683,,3400,70,G,79,,CONC,,,,,,,,,,,MIL,,,Military,Appears to be an abandoned airfield; no buildings; may have been abandoned in 1970s.  Not shown on ONC.,
Severnyy,,200 km E,Orsk,,RUS,,,,,A,0,51,4.2,N,61,28.9,E,G,850,,,,,,51.07,61.4817,,3500,50,G,11,,CONC,,,,,,,,,,,MIL,,,Military,Appears to be a 1960s-era bomber base.  Mostly plowed under but 8 large pads are noted.  Located only 3 km from Kazakhstan border to east.,
Atbasar,,5 km N,Atbasar,,KAZ,,,,,N,2,51,51.1,N,68,21.8,E,G,1010,,,,,,51.8517,68.3633,,1500,50,G,42,,GRAS,,,,,,,,,,,CIV,,,Civilian,Small unpaved airstrip with small loop taxiway feeding a small parking area; two buildings onsite.,
Astana,"Akmola, Astana, Tselinograd South (US)",18 km S,Astana,,KAZ,,UACC,,CD,M,,51,1.3,N,71,28,E,CD,1165,CD,,,,,51.0217,71.4667,9,3501,45,CD,45,Apr-22,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airfield; listed in Jeppesen terminal guides.,
Ekibastuz,,16 km SW,Ekibastuz,,KAZ,,UASB,,,M,,51,35.3,N,75,12.9,E,G,774,,,,,,51.5883,75.215,,2500,42,G,54,May-23,ASPH,,,,,,,,,,,CIV,,,Civilian,Services small airliners.,
Rubtsovsk,,6 km N,Rubtsovsk,,RUS,,UNBR,,,M,,51,35.3,N,81,12.3,E,G,709,,,,,,51.5883,81.205,,1600,35,G,32,Mar-21,ASPH,,,,,,,,,,,CIV,,,Civilian,,
Gorno-Altaysk,,9 km W,Gorno-Altaysk,,RUS,,UWBG,,,M,,51,58.4,N,85,5.3,E,H,965,,,,,,51.9733,85.0883,,1300,38,H,25,Feb-20,ASPH,,,,,,,,,,,CIV,,,Civilian,Small airliners.  A couple of helicopters and Li-2 aircraft are based here.,
Kyzyl,Kyzyl South (US),4 km S,Kyzyl,Tuva,RUS,,UNKY,,CD,M,,51,40.2,N,94,24.1,E,H,2123,,,,,,51.67,94.4017,,2700,45,H,52,May-23,CONC,,,,,,,,,,,CIV,,,Civilian,Handles small airliners.,
Kyren,,1 km SE,Kyren,,RUS,,,,,M,3,51,40.7,N,102,9.5,E,G,2290,,,,,,51.6783,102.1583,,1775,30,G,91,,ASPH,,,,,,,,,,,CIV,,,Civilian,Civilian airport; asphalt runway with tarmac.,
Ulan Ude/Vostochny,Ulan Ude East (US),9 km E,Ulan Ude,Buryatiya,RUS,9,,,,M,,51,51,N,107,44.1,E,H,1670,,,,,,51.85,107.735,,3000,70,H,79,Aug-26,CONC,,,,,,,,,,,CIV,,,Civilian,"Services medium-size airliners.  Appears to be a former bomber staging base.  Runway was originally built at 70 m width but only 40 m is usable throughout its length.  Considerable tarmac space, with three 400x125m tarmacs and a few alert revetments.  Only a few helicopters and An-72 aircraft remain.",
Ulan Ude/Mukhino,Mukhino (US),13 km W,Ulan Ude,Buryatiya,RUS,,UIUU,,CD,M,,51,48.5,N,107,26.4,E,CD,1690,CD,,,,,51.8083,107.44,-4,3014,46,C,78,Aug-26,CONC,,,,,,,,,,,CIV,,,Civlian,Services medium-sized airliners; parking area handles 8 jets and 41 smaller aircraft.  CAICA 2000 gave runway as 2997 x 45 m.,
Bada,"Bata, Bada North (US)",3 km NE,Bada,,RUS,9,,,,M,,51,24.4,N,109,54,E,H,2500,,,,,,51.4067,109.9,,2500,45,H,84,,CONC,,,,,,,,,,,MIL,FA,A,21 BAP (Su-24).  313 BAP (Su-24MR)[#7].,"Several clusters of remote revetments for fighter aircraft, and large tarmac.  Forward aviation base.",
Domna,,27 km SW,Chita,Chita,RUS,9,,,,M,,51,55,N,113,7.1,E,H,2280,,,,,,51.9167,113.1183,,2500,45,H,113,,CONC,,,,,,,,,,,MIL,FA,IAR,"733 BAP (Su-24, 1991).  120 IAP (MiG-23MLD, 1991) (MiG-29, 1993-2003-)[#7].  125 GV ORAP (Su-17M3R,1988) (26 Su-24MR, 1989,1991).  114 BAP (Su-24,disbanded ~1992).","Large, hardened base with six areas of revetments probably holding 50 fighter aircraft.  Domna means ""blast furnace"".",
Karaksar,,42 km NE,Olovyannaya,,RUS,4,,,,A,0,51,16.8,N,115,51.3,E,G,2051,,,,,,51.28,115.855,,2500,30,G,154,,????,,,,,,,,,,,-,,,Demolished,"Former airfield with taxiways and tarmac, likely military, demolished.",
Step/Olovyannaya,Step,14 km NW,Yasnogorsk,Chita,RUS,9,,,,M,,51,1.2,N,115,25.7,E,H,2329,,,,,,51.02,115.4283,,2500,40,H,76,,CONC,,,,,,,,,,,MIL,FA,A,"6 APIB (Su-17,1988) under 23rd Air Army (Trans-Baikal). 58 APIB (Su-17M3+L29,1988) (MiG-27, 1991) under 23rd Air Army (Trans-Baikal).  266 OSHAP (Su-25)[#7].",Large air base with two revetment areas and numerous military fortifications.  Near SS-11 missile field that was dismantled in mid 1990s.,
Balei,,2 km E,Balei,,RUS,,,,,M,3,51,33.7,N,116,42.2,E,G,2136,,,,,,51.5617,116.7033,,1850,30,G,70,,CONC,,,,,,,,,,,CIV,,,Civilian,Civilian airport with tarmac.,
Gazimurskiy Zavod,,1 km E,Gazimurskii Zavod,,RUS,,,,,M,2,51,32.8,N,118,22.2,E,G,2500,,,,,,51.5467,118.37,,1250,20,G,97,,ASPH,,,,,,,,,,,CIV,,,Small civilian airfield with small tarmac.,Civilian airport with dirt runway.,
Shimanovsk,,4 km SW,Shimanovsk,,RUS,,,,,M,3,51,59.1,N,127,38.6,E,G,869,T91,,,,,51.985,127.6433,,1350,30,G,157,,CONC,,,,,,,,,,,CIV,,,Civilian,Very small utilitarian airport.,
Svobodnyy,,12 km N,Svobodnyy,,RUS,9,,,,M,3,51,27.4,N,128,5.8,E,H,600,T91,,,,,51.4567,128.0967,,1030,30,G,160,,GRAV,,,,,,,,,,,CIV,,,Civilian,Small civilian airfield with large unpaved parking area.  Several Li-2s parked on the airfield.,
Orlovka,"Orlovke, Vernoye, Vernoye-Orlovka",8 km N,Vernoye,,RUS,4,,,,M,,51,15.9,N,128,43.2,E,G,850,,,,,,51.265,128.72,,2500,40,G,151,,CONC,,,,,,,,,,,MIL,PVO,I,"404 IAP (MiG-23P, Su-27, starting 1974, ended 2000)[#5].  41 IAP (MiG-29 starting 1987, 1991)[#4].",Hardened airfield with large central tarmac area.  Located near the bomber base Ukrainka.  The 404 IAP was dissolved into 23 IAP Dzemgi.,
Ukrainka,,28 km N,Belogorsk,Amur,RUS,8,,,,M,8,51,10.2,N,128,26.7,E,H,771,,,,,,51.17,128.445,,3500,80,H,152,,CONC,,,,,,,,,,,MIL,DA,B,"73 TBAP (16 Tu-95MS16, 26 Tu-95MS6, 1996, from Dolon).  40 GV TBAP (3M 1957-) (Tu-95K 1980, 1991)[#2] (Tu-95MS, 1991)[#2] (Tu-134, 1991)[#2], (An-26, 1991)[#2].  79 GV TBAP (3M 1957-) (Tu-95K 1982, 1991)[#2], (Tu-95KM, 1991)[#2], (Tu-95MS, 1991)[#2].  182","This is a major strategic bomber base that is still active.  Sister of Zavitinsk and close to the interceptor field Orlovka.  Served Tu-22 in 1960s-1970s.  Large air base, large tarmacs and nearly 40 revetments.",
